,brand,model,network_speed,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,audio_jack,bluetooth,GPS,NFC,radio,battery,approx_price_EUR,img_url,GSM,LTE,DualSim,NumberOfCores,li-ion,li-po,AMOLED,([^\w]|\b)OLED,TFT,LCD,Android,Windows,iOS
2212,BLU,Brooklyn,,Yes,Yes,2012,115 x 63 x 12 mm (4.53 x 2.48 x 0.47 in),90.0,Triple SIM (Mini-SIM),TFT  256K colors,2.4 inches (~24.6% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),128 MB ROM,64 MB RAM,1.3 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion 750 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/blu-brooklyn.jpg,GSM,,,1,Yes,,,,TFT,,,,
2213,BLU,Hero,,Yes,,2011,104 x 57 x 13 mm (4.09 x 2.24 x 0.51 in),90.0,Dual SIM (Mini-SIM),TFT resistive touchscreen  256K colors,2.8 inches (~41.0% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),64 MB ROM,32 MB RAM,1.3 MP,No,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 950 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/blu-hero.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2214,Nokia,Asha 203,,Yes,Yes,2012,114.8 x 49.8 x 13.9 mm| 91.5 cc (4.52 x 1.96 x 0.55 in),90.0,Mini-SIM,TFT resistive touchscreen,2.4 inches (~31.2% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),10 MB,32 MB ROM| 16 MB RAM,2 MP,No,Yes,Yes,,,Stereo FM radio| RDS| recording,Removable Li-Ion 1020 mAh battery (BL-5C),80.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-asha-203.jpg,GSM,,,1,Yes,,,,TFT,,,,
2215,Nokia,Asha 202,,Yes,Yes,2012,114.8 x 49.8 x 13.9 mm| 91.5 cc (4.52 x 1.96 x 0.55 in),90.0,Dual SIM (Mini-SIM),TFT resistive touchscreen,2.4 inches (~31.2% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),10 MB,32 MB ROM| 16 MB RAM,2 MP,No,Yes,Yes,,,Stereo FM radio| RDS| recording,Removable Li-Ion 1020 mAh battery (BL-5C),70.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-asha-202.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2216,Orange,Rio,,Yes,Yes,2011,107 x 61 x 12 mm (4.21 x 2.40 x 0.47 in),90.0,Mini-SIM,TFT resistive touchscreen  256K colors,2.4 inches (~27.3% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),6 MB,,2 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/orange-rio.jpg,GSM,,,1,Yes,,,,TFT,,,,
2217,Plum,Caliber,384 Kbps,Yes,Yes,2011,107 x 49 x 14.1 mm (4.21 x 1.93 x 0.56 in),90.0,Dual SIM (Mini-SIM| dual stand-by),TFT,2.2 inches (~28.6% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,650 MHz Cortex-A9,Mediatek MT6573,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB ROM,256 MB RAM,2 MP| LED flash,1 MP,Yes,Yes,,,Stereo FM radio,Removable Li-Ion 1050 mAh battery (BL-5C),,http://cdn2.gsmarena.com/vv/bigpic/plum-caliber.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2218,Spice,Mi-422 Smartflo Pace,,Yes,Yes,2013,126 x 63.8 x 10.9 mm (4.96 x 2.51 x 0.43 in),90.0,Dual SIM (Mini-SIM),TFT capacitive touchscreen,4.0 inches (~56.7% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6515,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),,,3.15 MP| LED flash,1.3 MP,Yes,Yes,Yes,,FM radio,Removable Li-Ion 1300 mAh battery,50.0,http://cdn2.gsmarena.com/vv/bigpic/spice-422.jpg,GSM,,Yes,1,Yes,,,,TFT,,Yes,,
2219,Unnecto,Tap,,Yes,Yes,2011,105.5 x 56 x 12.2 mm (4.15 x 2.20 x 0.48 in),90.0,Dual SIM (dual stand-by),TFT resistive touchscreen,2.8 inches (~41.1% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot)  4 GB included,256 MB,64 MB RAM,1.3 MP,No,Yes,Yes,,,FM radio,Li-Ion 950 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/unnecto-tap.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2220,Unnecto,Pro Z,,Yes,Yes,2012,115 x 60 x 11 mm (4.53 x 2.36 x 0.43 in),90.0,Dual SIM (dual stand-by),TFT resistive touchscreen,2.4 inches (~25.9% screen-to-body ratio),320 x 240 pixels (~167 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),64 MB,,1.3 MP,No,Yes,Yes,,,FM radio,Li-Ion 1000 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/unnecto-pro-z.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2221,verykool,i672,,Yes,,2012,119 x 57.2 x 13 mm (4.69 x 2.25 x 0.51 in),90.0,Mini-SIM,TFT touchscreen,2.4 inches (~26.2% screen-to-body ratio),-,,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,,Yes,,,FM radio,Removable Li-Ion 950 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i672.jpg,GSM,,,1,Yes,,,,TFT,,,,
2222,verykool,i705,,Yes,,2011,94 x 45 x 18.6 mm (3.70 x 1.77 x 0.73 in),90.0,Mini-SIM,TFT,2.0 inches (~29.3% screen-to-body ratio),-,,,,,microSD (dedicated slot),,,VGA,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i705.jpg,GSM,,,1,Yes,,,,TFT,,,,
2223,verykool,i310,,Yes,,2011,91 x 46 x 16.2 mm (3.58 x 1.81 x 0.64 in),90.0,Mini-SIM,TFT,2.0 inches (~30.8% screen-to-body ratio),-,,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion battery,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i310.jpg,GSM,,,1,Yes,,,,TFT,,,,
2224,Samsung,U800 Soul b,HSPA 3.6/0.384 Mbps,Yes,Yes,2008,111 x 46 x 9.9 mm (4.37 x 1.81 x 0.39 in),90.4,Mini-SIM,TFT  16M colors,2.0 inches (~24.3% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),1 GB,,3.15 MP| LED flash,CIF videocall camera,No,Yes,,,Stereo FM radio| RDS,Removable Li-Ion battery,100.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-soulb.jpg,GSM,,,1,Yes,,,,TFT,,,,
2225,Samsung,M7500 Emporio Armani,HSPA 3.6/0.384 Mbps,Yes,Yes,2008,114.9 x 47.4 x 12 mm (4.52 x 1.87 x 0.47 in),90.2,Mini-SIM,AMOLED  256K colors,2.2 inches (~27.5% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),120 MB,,3.15 MP| autofocus,Videocall camera,Yes,Yes,,,Stereo FM radio| RDS,Removable Li-Ion 960 mAh battery,130.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-m7500-emporio-armani.jpg,GSM,,,1,Yes,,AMOLED,,,,,,
2226,Micromax,X271,,Yes,Yes,2012,119.7 x 50.7 x 13.5 mm (4.71 x 2.00 x 0.53 in),91.0,Dual SIM (Mini-SIM),TFT,2.4 inches (~29.4% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,Yes,,,FM radio,Removable Li-Ion 1500 mAh battery,20.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-x271.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2227,Philips,Xenium 9@9u,,Yes,Yes,2008,107 x 44.5 x 14.8 mm (4.21 x 1.75 x 0.58 in),91.0,Mini-SIM,TFT  256K colors,2.0 inches (~26.4% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),25 MB,,2 MP,No,No,Yes,,,FM radio,Removable Li-Ion 1050 mAh battery,,http://cdn2.gsmarena.com/vv/bigpic/philips-9@9u.jpg,GSM,,,1,Yes,,,,TFT,,,,
2228,Samsung,S5611,HSPA,Yes,Yes,2014,118.9 x 49.7 x 12.9 mm (4.68 x 1.96 x 0.51 in),91.0,Mini-SIM,TFT  256K colors,2.4 inches (~30.2% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,460 MHz,,,microSD  up to 16 GB (dedicated slot),256 MB,,5 MP| autofocus| LED flash,No,Yes,Yes,,,Stereo FM radio| RDS| recording,Removable Li-Ion 1000 mAh battery,70.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-gt-s5611.jpg,GSM,,,1,Yes,,,,TFT,,,,
2229,Samsung,S5610,HSPA 7.2/0.384 Mbps,Yes,Yes,2011,118.9 x 49.7 x 12.9 mm (4.68 x 1.96 x 0.51 in),91.0,Mini-SIM,TFT  256K colors,2.4 inches (~30.2% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),108 MB,,5 MP| autofocus| LED flash,No,Yes,Yes,,,Stereo FM radio| RDS| recording,Removable Li-Ion 1000 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-s5610.jpg,GSM,,,1,Yes,,,,TFT,,,,
2230,Spice,G-6565,HSPA 3.6/0.384 Mbps,Yes,Yes,2010,115.6 x 50.6 x 11.5 mm (4.55 x 1.99 x 0.45 in),91.8,Dual SIM (Mini-SIM),TFT   256K colors,2.4 inches (~30.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 4 GB (dedicated slot),16 MB,,3.15 MP,Yes,No,Yes,,,No,Removable Li-Ion 900 mAh battery,150.0,http://cdn2.gsmarena.com/vv/bigpic/spice-g-6565.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2231,LG,A390,,Yes,,2013,114.4 x 51.8 x 13.2 mm (4.50 x 2.04 x 0.52 in),92.0,Dual SIM (Mini-SIM| dual stand-by),TFT,2.2 inches (~25.3% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,416 MHz,Mediatek MT6255,,microSD  up to 16 GB (dedicated slot),40 MB,,1.3 MP,No,Yes,Yes,,,FM radio| recording,Removable Li-Ion 1700 mAh battery,40.0,http://cdn2.gsmarena.com/vv/bigpic/lg-a390.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2232,LG,C199,,Yes,Yes,2012,109.4 x 59.8 x 12.5 mm (4.31 x 2.35 x 0.49 in),92.0,Dual SIM (Mini-SIM),TFT  256K colors,2.3 inches (~25.0% screen-to-body ratio),240 x 320 pixels (~174 ppi pixel density),,,Mediatek MT6236,,microSD  up to 8 GB (dedicated slot),78.4 MB,,2 MP,No,Yes,Yes,,,FM radio| RDS,Removable Li-Ion 1100 mAh battery,70.0,http://cdn2.gsmarena.com/vv/bigpic/lg-c199.jpg,GSM,,Yes,1,Yes,,,,TFT,,,,
2233,LG,A258,,Yes,Yes,2011,97.5 x 49.1 x 16.5 mm (3.84 x 1.93 x 0.65 in),92.0,Mini-SIM,TFT  256K colors,2.2 inches (~31.8% screen-to-body ratio),176 x 220 pixels (~128 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),15 MB,,2 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion 900 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/lg-a258.jpg,GSM,,,1,Yes,,,,TFT,,,,
2234,LG,A250,,Yes,Yes,2011,99.8 x 51 x 15.8 mm (3.93 x 2.01 x 0.62 in),92.0,Mini-SIM,TFT  256K colors,2.2 inches (~29.9% screen-to-body ratio),176 x 220 pixels (~128 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),10 MB,,1.3 MP,No,Yes,Yes,,,FM radio,Removable Li-Ion 900 mAh battery,80.0,http://cdn2.gsmarena.com/vv/bigpic/lg-a250.jpg,GSM,,,1,Yes,,,,TFT,,,,
